DRE;CODESC;TIPOESC;NOMES;DESLOC;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;DISTRITO;CDIST;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;FX_ETARIA;NOME_ANT;LATITUDE;LONGITUDE;DATABASE
CL;307548;ESC.PART.;MARIA LINA, INST EDUCACIONAL;MARIA LINA, INST EDUCACIONAL;;CAMPO LIMPO;CAMPO LIMPO;RUA GERALDO BETING;130;JARDIM GERMÂNIA;5849330;55117782;;;Ativa;CAPAO REDONDO;19;1903;35457656;35457656;;;04/06/2011;191;03/06/2011;;04/06/2011;;04 MESES A 05 ANOS;;-23650360;-46753215;25/12/2023
IQ;307549;ESC.PART.;CANTINHO DOS ANJOS, EEI;CANTINHO DOS ANJOS, EEI;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA OSWALDO AROUCA;854;VILA FORMOSA;3363000;27815820;;;Ativa;CARRAO;20;2002;35129136;35129136;;;04/06/2011;48;03/06/2011;;04/06/2011;;ZERO A 5A;;-23560603;-46537423;25/12/2023
IQ;307552;CR.P.CONV;SONIA MARIA DOS ANJOS MARTINELLI;SONIA MARIA DOS ANJOS MARTINELLI;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA ANGÁ;633;VILA FORMOSA;3360000;22114481;;;Ativa;VILA FORMOSA;85;8503;35457176;35457176;;;12/07/2011;2011.0.087.457.3;08/06/2011;40736;10/11/2011;;DE 0 A 3 ANOS;NAS ASAS DA AGUIA;-23569777;-46544074;25/12/2023
IP;307553;ESC.PART.;GIROFLE GIROFLA II;GIROFLE GIROFLA II;;IPIRANGA;IPIRANGA;RUA SOUTHEY;46;VILA DOM PEDRO I;4276080;50632049;50611905;;Ativa;IPIRANGA;34;3403;35461404;35461404;;;13/07/2011;87;04/07/2011;;13/07/2011;;;;-23594613;-46614936;25/12/2023
PE;307555;ESC.PART.;CASTELO DO SABER;CASTELO DO SABER;;PENHA;PENHA;RUA PEIRÓPOLIS;610;VILA GUILHERMINA;3543140;20388925;;;Ativa;VILA MATILDE;91;9104;35432362;35432362;;;14/07/2011;78;06/07/2011;;14/07/2011;;0  A 5 ANOS;;-23532164;-46513848;25/12/2023
BT;307556;ESC.PART.;VILA DO APRENDER;VILA DO APRENDER;;BUTANTA;PINHEIROS;RUA GOMES DE CARVALHO;361;VILA OLÍMPIA;4547001;30442833;;;Ativa;ITAIM BIBI;35;3502;35457498;35457498;;;14/07/2011;26;07/07/2011;;14/07/2011;;;;-23600651;-46677552;25/12/2023
PJ;307557;ESC.PART.;ESPACO CRESCER;ESPACO CRESCER;;PIRITUBA;LAPA;AVENIDA PAULO VI;136;SUMARÉ;1262010;36757796;;;Ativa;PERDIZES;60;6001;35430754;35430754;;;14/07/2011;86;20/06/2011;;14/07/2011;;;;-23545709;-46676923;25/12/2023
CS;307559;ESC.PART.;ACUTI;ACUTI;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA ACUTI;343;CIDADE DUTRA;4810160;56665142;;;Ativa;CIDADE DUTRA;23;2302;35800995;35800995;;;21/07/2011;102;18/07/2011;;21/07/2011;;2 A 5 A;;-23710411;-46700058;25/12/2023
FO;307560;CR.P.CONV;TERRITORIOS DO BRINCAR;TERRITORIOS DO BRINCAR;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA JOÃO PINTO DE OLIVEIRA;168;JARDIM GUARANI;2849110;39228544;;;Ativa;BRASILANDIA;11;1105;35456834;35456834;;;07/06/2011;2011.0.000.996.1;20/05/2011;40701;03/04/2012;;ZERO A 3 ANOS;JARDIM DOS SONHOS I;-23461184;-46687661;25/12/2023
PE;307563;ESC.PART.;KINDERGARTEN, EEI;KINDERGARTEN, EEI;;PENHA;MOOCA;RUA AZEVEDO SOARES;2006;VILA GOMES CARDIM;3322002;20942600;;;Ativa;TATUAPE;80;8002;35456974;35456974;;;09/06/2011;66;06/06/2011;;09/06/2011;;ZERO A 5A;;-23547201;-46549732;25/12/2023
JT;307567;ESC.PART.;CASTELO DO SABER. E.E.I.;CASTELO DO SABER. E.E.I.;;JACANA/TREMEMBE;JACANA/TREMEMBE;AVENIDA NOSSA SENHORA DA CONCÓRDIA;330;PARQUE CASA DE PEDRA;2351050;29539016;;;Ativa;TREMEMBE;81;8105;35199527;35199527;;;09/06/2011;111;03/06/2011;;09/06/2011;;2 A 5 A;WALDORF EDUCACAO INFANTIL;-23453608;-46598828;25/12/2023
CL;307568;ESC.PART.;TURMA DO MICKEY;TURMA DO MICKEY;;CAMPO LIMPO;CAMPO LIMPO;RUA SATULNINO DE OLIVEIRA;31;JARDIM SÃO LUÍS;5813080;58513180;;;Ativa;CAMPO LIMPO;17;1702;35294767;35294767;;;26/05/2011;171;24/05/2011;;26/05/2011;;ZERO A 5A;;-23653161;-46732884;25/12/2023
FO;307569;CR.P.CONV;SHALLOM II;SHALLOM II;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA WALDEMAR MARTINS;926;PARQUE PERUCHE;2535001;25743080;;;Ativa;CASA VERDE;21;2102;35457224;35457224;;;16/06/2011;2011.0.040.513.1;20/05/2011;40710;14/07/2012;;1 A 3 ANOS ;;-23494109;-46654202;25/12/2023
IQ;307570;CR.P.CONV;GARRA FEMININA II;GARRA FEMININA II;;ITAQUERA;ITAQUERA;RUA SERRA DA SANTA MARTA 579;579;VILA CARMOSNA;8290420;22542823;;;Ativa;PARQUE DO CARMO;57;5701;35457085;35457085;;;16/06/2011;2011.0.019.916.7;18/05/2011;40710;10/12/2011;;DE 1 A 3 ANOS;;-23553365;-46457162;25/12/2023
CS;307572;CR.P.CONV;MUNDINHO DOS TALENTOS;MUNDINHO DOS TALENTOS;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA PEDRO ESCOBAR;788;JARDIM ELIANA;4851210;992862030;59323493;;Ativa;GRAJAU;30;3012;35457103;35457103;;;22/06/2011;2011.0.071.278.6;16/06/2011;40716;;;ZERO A 4 ANOS;GUARANI;-23750203;-46665317;25/12/2023
CS;307576;ESC.PART.;BIBIELE, C.R.I.;BIBIELE, C.R.I.;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA HENRI LACORDAIRE;24;JARDIM SANTA FRANCISCA CABRINI;4844660;59390487;;;Ativa;GRAJAU;30;3004;35365105;35365105;;;30/06/2011;97;28/06/2011;;30/06/2011;;2 A 5 A;;-23758020;-46706686;25/12/2023
PE;307577;ESC.PART.;A TURMA TODA;A TURMA TODA;;PENHA;ERMELINO MATARAZZO;AVENIDA SÃO MIGUEL;4956;JARDIM COTINHA;3870100;20413299;;;Ativa;PONTE RASA;64;6403;35293088;35293088;;;05/07/2011;76;29/06/2011;;05/07/2011;;01 ANO E SEIS MESES A 05 ANOS;;-23507353;-46484855;25/12/2023
JT;307580;ESC.PART.;DOCES CRIANCAS, CENTRO DE CONVIVENCIA INFANTIL;DOCES CRIANCAS, CENTRO DE CONVIVENCIA INFANTIL;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA IRMÃ EMERENCIANA;1050;VILA NILO;2278000;22482649;;;Ativa;JACANA;39;3904;35457930;35457930;;;09/08/2011;206;03/08/2011;;09/08/2011;;0 A 5A;DOCES CRIANCAS, CENTRO DE CONVIVENCIA INFANTI;-23464774;-46576389;25/12/2023
IP;307581;ESC.PART.;ARTE E MAGIA II;ARTE E MAGIA II;;IPIRANGA;VILA MARIANA;RUA PAGEU;75;VILA MARIANA;4139000;50711169;;;Ativa;SAUDE;77;7703;35457826;35457826;;;11/08/2011;119;09/08/2011;;11/08/2011;;3A A 5A;;-23606400;-46635580;25/12/2023
PE;307583;ESC.PART.;NINHO D OURO INSTITUTO DE EDUCACAO INFANTIL;NINHO D OURO INSTITUTO DE EDUCACAO INFANTIL;;PENHA;MOOCA;RUA DOS TRILHOS;2096;MOOCA;3168009;23075714;;;Ativa;MOOCA;53;5302;35199904;35199904;;;12/08/2011;110;10/08/2011;;12/08/2011;;1M A 5A;;-23555498;-46589848;25/12/2023
BT;307584;ESC.PART.;PLANETA CRIANCA, INST. E.;PLANETA CRIANCA, INST. E.;;BUTANTA;BUTANTA;AVENIDA PABLO CASALS;619;VILA DALVA;5386130;37121796;;;Ativa;RIO PEQUENO;67;6701;35458036;35458036;;;12/12/2009;102;07/12/2009;;12/12/2009;;4M A 5A;;-23560444;-46759130;25/12/2023
BT;307595;ESC.PART.;RECRIAR, E. E. I.;RECRIAR, E. E. I.;;BUTANTA;BUTANTA;RUA IBIAPABA;443;VILA SÔNIA;5625020;;;;Ativa;VILA SONIA;94;9403;35814097;35814097;;;22/12/2009;109;15/12/2009;;22/12/2009;;4M A 5A;;-23594436;-46725207;25/12/2023
BT;307596;ESC.PART.;LUA DE ALGODAO, N. E. I.;LUA DE ALGODAO, N. E. I.;;BUTANTA;BUTANTA;RUA DOUTOR ROMEO FERRO;245;JARDIM BONFIGLIOLI;5591000;37261266;;;Ativa;BUTANTA;12;1201;35164586;35164586;;;22/12/2009;107;11/12/2009;;22/12/2009;;04 MESES A 05 ANOS;;-23579747;-46728423;25/12/2023
PJ;307597;CR.P.CONV;CONCEICAO ROSA;CONCEICAO ROSA;;PIRITUBA;PIRITUBA;RUA ANDRÉ PEREIRA TEMUDO;166;VILA MIRANTE;2957000;39727473;;;Ativa;PIRITUBA;63;6304;35460734;35460734;;;12/08/2011;2011.0.111.980.9;09/08/2011;40767;28/12/2012;;0 A 3 ANOS;;-23469372;-46720721;25/12/2023
G;307599;CR.P.CONV;REFERENCIA;REFERENCIA;;GUAIANASES;GUAIANASES;RUA TINGUIDAPRAIA;2;VILA LOURDES;8452635;20163325;;;Ativa;LAJEADO;96;9604;35458041;35458041;;;17/08/2011;2011.0.096.533.1;10/08/2011;40765;05/10/2012;;0A A 3A;;-23529005;-46399523;25/12/2023
IP;307600;ESC.PART.;PORTAL DO CRESCER;PORTAL DO CRESCER;;IPIRANGA;VILA PRUDENTE;RUA PEDRO DE GODÓI;403;PARQUE DA VILA PRUDENTE;3138010;20848990;;;Ativa;VILA PRUDENTE;93;9302;35321679;35321679;;;18/08/2011;135;12/08/2011;;18/08/2011;;0A A 5A;PORTAL CRESCER, E. E. I.;-23587146;-46577663;25/12/2023
FO;307602;CR.P.CONV;TIA LENINHA, CEI;TIA LENINHA, CEI;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA JOAQUIM DE SOUSA BRITO;129;JARDIM PAULISTANO ZONA NORTE;2816030;39721962;;;Ativa;BRASILANDIA;11;1103;35319272;35319272;;;18/08/2011;2,01101E+11;09/08/2011;40773;24/03/2012;;0 A 3 ANOS;;-23458984;-46706901;25/12/2023
PE;307603;ESC.PART.;GUAIAUNA BABY, E. E. I.;GUAIAUNA BABY, E. E. I.;;PENHA;PENHA;RUA JULIO COLACO;310;CHÁCARA CALIFÓRNIA;3503030;20912501;;;Ativa;PENHA;59;5901;35460761;35460761;;;20/08/2011;119;18/08/2011;;20/08/2011;;0 A 5 ANOS;;-23537180;-46541835;25/12/2023
FO;307604;ESC.PART.;COLEGIO ATENA, E. E. I.;COLEGIO ATENA, E. E. I.;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA FRANCISCO PEDROSO;222;MOINHO VELHO;2960010;39350881;;;Ativa;FREGUESIA DO O;29;2909;35294299;35294299;;;20/08/2011;38;18/08/2011;;20/08/2011;;0 MESES A 3 ANOS;;-23497963;-46699753;25/12/2023
IQ;307605;CR.P.CONV;DAMARIS CASTILHO IV;DAMARIS CASTILHO IV;;ITAQUERA;ITAQUERA;RUA PROFESSOR HASEGAWA;1500;COLONIA ZONA LESTE;8260090;22173751;;;Ativa;JOSE BONIFACIO;47;4704;35460801;35460801;;;04/08/2011;2010.0.256.644.0;04/08/2011;40759;16/09/2014;;0A A 3A;;-23567796;-46429259;25/12/2023
SA;307606;ESC.PART.;TURMA DA BAGUNCA, E. E. I.;TURMA DA BAGUNCA, E. E. I.;;SANTO AMARO;SANTO AMARO;RUA PROFESSOR GUILHERME BELFORT SABINO;348;CAMPININHA;4678001;56313162;;;Ativa;CAMPO GRANDE;16;1603;35293933;35293933;;;02/09/2011;182;30/08/2011;;02/09/2011;;2A A 5A;;-23672791;-46681266;25/12/2023
CS;307609;ESC.PART.;PRICLES, N. E.;PRICLES, N. E.;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA PALMEIRA DO MAR;362;PARQUE DAS ÁRVORES;4824090;45649768;;;Ativa;CIDADE DUTRA;23;2306;35292746;35292746;;;06/09/2011;148;05/09/2011;;06/09/2011;;2A A A5A;;-23729481;-46693355;25/12/2023
CS;307616;ESC.PART.;SILVA RIBEIRO;SILVA RIBEIRO;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;AVENIDA LEBLON;55;JARDIM DOS LAGOS;4771050;55214948;;;Ativa;SOCORRO;79;7902;35461544;35461544;;;17/09/2011;166;15/09/2011;;17/09/2011;;4M A 5A;;-23678900;-46710562;25/12/2023
SA;307617;ESC.PART.;BABY CARE, B. E. I.;BABY CARE, B. E. I.;;SANTO AMARO;CIDADE ADEMAR;RUA JOÃO GOMES BATISTA;563;JARDIM CIDÁLIA;4652160;34616638;;;Ativa;CIDADE ADEMAR;22;2202;35461416;35461416;307618;;17/09/2011;218;15/09/2011;;17/09/2011;;0A A 3A;;-23659972;-46668793;25/12/2023
CL;307619;ESC.PART.;TRINDADE, N. E.;TRINDADE, N. E.;;CAMPO LIMPO;M'BOI MIRIM;AVENIDA JACOBUS BALDI;27;JARDIM IRACEMA;5847000;26675722;962226311;;Ativa;JARDIM SAO LUIS;46;4603;35461097;35461097;;;14/09/2011;221;13/09/2011;;14/09/2011;;0A A 5A;;-23654688;-46744260;25/12/2023
G;307621;CR.P.CONV;LAR ENCANTADO;LAR ENCANTADO;;GUAIANASES;GUAIANASES;RUA JOSÉ LEMONDES;83;JARDIM SANTA TEREZINHA ZONA LESTE;8430060;25130959;;;Ativa;LAJEADO;96;9607;35461283;35461283;;;06/09/2011;2,011E+12;06/09/2011;40792;10/11/2012;;0A A 3A;;-23524338;-46429046;25/12/2023
PJ;307623;ESC.PART.;ESPACO LUDICO, I. E.;ESPACO LUDICO, I. E.;;PIRITUBA;LAPA;RUA BARÃO DO BANANAL;603;VILA POMPÉIA;5024000;38752815;;;Ativa;PERDIZES;60;6001;35347224;35347224;;;01/10/2011;133;23/09/2011;;01/10/2011;;3M A 5A;;-23529932;-46686136;25/12/2023
IP;307624;ESC.PART.;PRIMEIRO PASSO ESCOLAS REUNIDAS;PRIMEIRO PASSO ESCOLAS REUNIDAS;;IPIRANGA;VILA MARIANA;RUA AFONSO DE FREITAS;687;PARAÍSO;4006052;38853900;;;Ativa;VILA MARIANA;90;9001;35461581;35461581;;;24/09/2011;203;22/09/2011;;24/09/2011;;3M A 5A;;-23576768;-46648285;25/12/2023
IQ;307626;ESC.PART.;GUAIAUNA, COLEGIO;GUAIAUNA, COLEGIO;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA CRISTÓVÃO GIRÃO;255;VILA FORMOSA;3362030;26743296;;;Ativa;VILA FORMOSA;85;8502;35433524;35433524;;;29/09/2011;110;23/09/2011;;29/09/2011;;0  A 5 ANOS;;-23566507;-46542661;25/12/2023
IP;307627;ESC.PART.;FRUTO DO SABER, R. I.;FRUTO DO SABER, R. I.;;IPIRANGA;VILA PRUDENTE;RUA GENARO ARILA ARENSANZ;198;VILA IVONE;3275090;29119315;;;Ativa;SAO LUCAS;72;7201;35461398;35461398;;;05/10/2011;218;29/09/2011;;05/10/2011;;1A A 5A;;-23579270;-46554240;25/12/2023
PE;307629;CR.P.CONV;JOSE MARIA;JOSE MARIA;;PENHA;PENHA;RUA ENÉAS DE BARROS;1044;VILA SANTANA;3613000;21576802;;;Ativa;CANGAIBA;18;1801;35461441;35461441;;;30/09/2011;2,01101E+11;30/09/2011;40816;20/03/2020;;0 A 3 ANOS;;-23518274;-46534007;25/12/2023
PE;307633;ESC.PART.;RECANTO DA MORANGUINHO, E. R. I.;RECANTO DA MORANGUINHO, E. R. I.;;PENHA;PENHA;RUA JOSÉ PALOMINO;20;VILA SÍLVIA;3820080;29434948;;;Ativa;PENHA;59;5903;35322349;35322349;;;10/10/2011;156;06/10/2011;;08/10/2011;;01 ANO E SEIS MESES A 05 ANOS;;-23496124;-46502221;25/12/2023
PE;307634;CR.P.CONV;CAMINHANDO PARA O FUTURO II;CAMINHANDO PARA O FUTURO II;;PENHA;PENHA;RUA PADRE HIPÓLITO;99;VILA MATILDE;3511030;25078234;;;Ativa;VILA MATILDE;91;9101;35461520;35461520;;;03/10/2011;2,01102E+11;03/10/2011;40819;05/06/2021;;0 A 3 ANOS;;-23534057;-46526311;25/12/2023
IP;307640;ESC.PART.;EVOLUCAO UNIDADE II;EVOLUCAO UNIDADE II;;IPIRANGA;SE;RUA ITAGUABA;102;SANTA CECÍLIA;1233050;38282219;36666025;;Ativa;CONSOLACAO;26;2601;35462809;35462809;;;15/10/2011;256;10/10/2011;;15/10/2011;;3A A 5A;;-23540758;-46663434;25/12/2023
MP;307641;CR.P.CONV;PASSOS DO FUTURO;PASSOS DO FUTURO;;SAO MIGUEL;SAO MIGUEL;RUA RIO MANUEL ALVES;369;VILA ITAIM;8190450;43804544;;;Ativa;JARDIM HELENA;44;4405;35461660;35461660;;;11/10/2011;2,01003E+11;11/10/2011;40827;06/10/2012;;0 A 3 ANOS;CANTINHO DO CEU;-23486807;-46395502;25/12/2023
IQ;307642;CR.P.CONV;CARAMINHOLAS;CARAMINHOLAS;;ITAQUERA;ITAQUERA;AVENIDA PADRE GREGÓRIO MAFRA;1409;VILA VERDE;8235095;20574256;;;Ativa;ITAQUERA;37;3705;35461684;35461684;;;16/09/2011;2,01101E+11;16/09/2011;40802;16/09/2014;;0A A 3A;ADRIANO SAPUCAIA;-23515858;-46450195;25/12/2023
CL;307643;CR.P.CONV;CAMINHAR;CAMINHAR;;CAMPO LIMPO;CAMPO LIMPO;RUA JOAQUIM XAVIER CURADO;203;PARQUE IPÊ;5762140;;;;Ativa;CAMPO LIMPO;17;1704;35461751;35461751;;;11/10/2011;2,01102E+11;11/10/2011;40827;10/11/2020;;0A A 2A;;-23639863;-46763385;25/12/2023
FO;307644;CR.P.CONV;ANEU GARANHANI;ANEU GARANHANI;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA OURO GROSSO;1288;PARQUE PERUCHE;2531001;25797304;;;Ativa;CASA VERDE;21;2102;35461726;35461726;;;11/10/2011;20110255121;11/10/2011;40827;13/07/2012;;0A A 3A;;-23498247;-46658907;25/12/2023
IQ;307646;ESC.PART.;PRIMEIRAS LETRINHAS, E. E. I.;PRIMEIRAS LETRINHAS, E. E. I.;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA ANTÔNIO LA GIUDICE;580;JARDIM ARICANDUVA;3454000;989465568;;;Ativa;ARICANDUVA;4;402;35461921;35461921;;;22/10/2011;152;17/10/2011;;22/10/2011;;0A A 5A;;-23565729;-46511312;25/12/2023
CS;307652;ESC.PART.;PINTANDO O SETE, E. E. I.;PINTANDO O SETE, E. E. I.;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;AVENIDA RUBENS MONTANARO DE BORBA;66;JARDIM REGIS;4811120;56693547;;;Ativa;CIDADE DUTRA;23;2303;35462263;35462263;;;25/10/2011;223;24/10/2011;;25/10/2011;;0 A 5 ANOS;;-23707813;-46694934;25/12/2023
MP;307655;ESC.PART.;ANJOS ESCOLA DE EDUCACAO;ANJOS ESCOLA DE EDUCACAO;;SAO MIGUEL;ITAIM PAULISTA;RUA CORONEL PATRÍCIO CORREA DA CÂMARA;18;PARQUE SANTA AMÉLIA;8122280;20251067;;;Ativa;ITAIM PAULISTA;36;3607;35315369;35315369;;;04/11/2011;77;03/11/2011;;04/11/2011;;0 A 5 ANOS;ANJOS, E. E. I.;-23496834;-46376020;25/12/2023
FO;307658;CR.P.CONV;PEQUENA GIOVANNA;PEQUENA GIOVANNA;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA ANTÔNIO SUSINI;44;JARDIM PRINCESA;2856100;39235998;;;Ativa;BRASILANDIA;11;1104;35462561;35462561;;;26/10/2011;2,01102E+11;26/10/2011;40842;13/07/2012;;0 A 3 ANOS;;-23451820;-46692843;25/12/2023
PE;307661;ESC.PART.;SAPERE DOMUS, E. I.;SAPERE DOMUS, E. I.;;PENHA;PENHA;RUA BOLIVAR RIBEIRO BOAVENTURA;366;JARDIM PENHA;3758010;25474333;;;Ativa;CANGAIBA;18;1802;35322039;35322039;;;18/11/2011;192;11/11/2011;;18/11/2011;;01 ANO E SEIS MESES A 05 ANOS;;-23506766;-46500511;25/12/2023
PJ;307662;ESC.PART.;COLEGIO BELLATRIX, I. E. I.;COLEGIO BELLATRIX, I. E. I.;;PIRITUBA;LAPA;RUA DOUTOR RAFAEL CORREIA;201;ÁGUA BRANCA;5043050;39268641;;;Ativa;LAPA;48;4803;35433810;35433810;;;19/11/2011;167;16/11/2011;;19/11/2011;;0A A 5A;;-23526583;-46689858;25/12/2023
MP;307663;CR.P.CONV;NEI CAETANO DE ANDRADE;NEI CAETANO DE ANDRADE;;SAO MIGUEL;SAO MIGUEL;RUA DAS NEMÉSIAS;388;JARDIM CASA PINTADA;8040740;20542085;;;Ativa;VILA JACUI;87;8707;35463139;35463139;;;16/11/2011;2,01004E+11;16/11/2011;40863;27/09/2012;;0 A 3 ANOS;;-23512074;-46446659;25/12/2023
PJ;307664;CR.P.CONV;PE COM PE;PE COM PE;;PIRITUBA;PERUS;RUA DEDALION;208;JARDIM ADELFIORE;5223120;23685881;;;Ativa;PERUS;61;6102;35472475;35472475;;;16/11/2011;2011.0.242.186.0;16/11/2011;40863;26/07/2012;;0 A 3 ANOS;CATITA;-23408919;-46737343;25/12/2023
SA;307669;CR.P.CONV;CANTINHO DA PAZ II;CANTINHO DA PAZ II;;SANTO AMARO;CIDADE ADEMAR;RUA OLDEGARD OLSEN SAPUCAIA;433;JARDIM LUSO;4421000;56265035;;;Ativa;CIDADE ADEMAR;22;2205;35462640;35462640;;;21/11/2011;2,01101E+11;21/11/2011;40868;06/09/2012;;0A A 2A;MDLD CANTINHO DOS ANJOS;-23688047;-46634617;25/12/2023
IP;307671;ESC.PART.;ARCO IRIS;ARCO IRIS;;IPIRANGA;SE;RUA DOS ALPES;413;CAMBUCI;1520030;23512247;32070473;;Ativa;CAMBUCI;14;1401;35463103;35463103;;;23/11/2011;328;18/11/2011;;23/11/2011;;6 MESES A 3 ANOS;;-23561351;-46620574;25/12/2023
FO;307672;CR.P.CONV;MUNDO MAGICO, CEI;MUNDO MAGICO, CEI;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA DOUTOR JOAQUIM DAQUINO FONSECA;47;SÍTIO DO MANDAQUI;2542080;37746225;;;Ativa;CASA VERDE;21;2101;35462780;35462780;;;10/11/2011;2011.0.273.724.7;10/11/2011;40857;13/07/2012;;0 A 3 ANOS;;-23486217;-46659294;25/12/2023
FO;307674;CR.P.CONV;RECRIARTE, CEI;RECRIARTE, CEI;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA ROSA DOS VENTOS;182;VILA NOVA CACHOEIRINHA;2612000;36286647;;;Ativa;CACHOEIRINHA;13;1304;35462810;35462810;;;11/11/2011;2011.0.215.518.3;11/11/2011;40858;13/07/2012;;0 A 3 ANOS;;-23471899;-46665456;25/12/2023
MP;307675;ESC.PART.;TIA NEVE, E. E. I.;TIA NEVE, E. E. I.;;SAO MIGUEL;SAO MIGUEL;RUA TINGUACU;79;JARDIM HELENA;8090400;25842259;;;Ativa;JARDIM HELENA;44;4402;35432581;35432581;;;30/11/2011;97;28/11/2011;;30/11/2008;;0A A 5A;;-23481780;-46427766;25/12/2023
PJ;307676;ESC.PART.;A TURMA DA TIA NA BERCARIO E RECREACAO, I. E.;A TURMA DA TIA NA BERCARIO E RECREACAO, I. E.;;PIRITUBA;LAPA;RUA COTOXÓ;456;PERDIZES;5021000;38735547;;;Ativa;PERDIZES;60;6001;35317949;35317949;;;02/12/2011;173;28/11/2011;;02/12/2011;;0A A 2A;;-23535420;-46685064;25/12/2023
FO;307681;CR.P.CONV;DOZE DE OUTUBRO;DOZE DE OUTUBRO;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA FREDERICO PENTEADO JÚNIOR;168;JARDIM DAS LARANJEIRAS;2517100;39511450;;;Ativa;CASA VERDE;21;2102;35462998;35462998;;;28/11/2011;20110281525;28/11/2011;40858;12/08/2014;;0A A 3A;;-23505545;-46665181;25/12/2023
PJ;307682;CR.P.CONV;CHACARA INGLESA;CHACARA INGLESA;;PIRITUBA;PIRITUBA;RUA LAUDELINO VIEIRA DE CAMPOS;131;JARDIM FELICIDADE (ZONA OESTE);5143020;39038836;;;Ativa;PIRITUBA;63;6305;35463224;35463224;;;08/12/2011;2,01103E+11;08/12/2011;40885;;;1 A 3 ANOS;;-23495739;-46725394;25/12/2023
MP;307683;CR.P.CONV;VOVO ADELAIDE;VOVO ADELAIDE;;SAO MIGUEL;SAO MIGUEL;RUA TENENTE MIGUEL DELIA;142;VILA ROSARIA;8021090;2058-1011;;;Ativa;SAO MIGUEL;74;7405;35463197;35463197;;;08/12/2011;2,01103E+11;08/12/2011;40885;13/12/2012;;0A A 2A;;-23498993;-46438997;25/12/2023
FO;307684;CR.P.CONV;MARQUES DOS FRANCOS;MARQUES DOS FRANCOS;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA ARI CARNEIRO FERNANDES;349;JARDIM DOS FRANCOS;2874000;39848232;;;Ativa;BRASILANDIA;11;1106;35463152;35463152;;;28/11/2011;2,01102E+11;28/11/2011;40875;13/07/2012;;0 A 3 ANOS;;-23455631;-46676212;25/12/2023
PJ;307685;CR.P.CONV;CORRE COTIA;CORRE COTIA;;PIRITUBA;PERUS;RUA MOGEIRO;1085;VILA PERUS;5206240;39193864;39178403;;Ativa;PERUS;61;6101;35464028;35464028;;;13/12/2011;2,01103E+11;13/12/2011;40890;04/03/2015;;0 A 3 ANOS;LIRIOS DO VALE II;-23403763;-46762203;25/12/2023
SA;307687;ESC.PART.;ESCOLA FADELITO;ESCOLA FADELITO;;SANTO AMARO;SANTO AMARO;RUA CONDE DE ITU;464;JARDIM SANTO AMARO;4741000;55243206;;;Ativa;SANTO AMARO;71;7102;35004507;35004507;;;10/12/2011;278;09/12/2011;;10/12/2011;;PERMANECE ATENDIMENTO NA FAIXA ETARIA;FADELITO UNIDADE II, C. E.;-23648290;-46700730;25/12/2023
FO;307689;CR.P.CONV;TERESA DANTAS, IRMA;TERESA DANTAS, IRMA;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA FIRMINÓPOLIS;1527;JARDIM VISTA ALEGRE;2878000;39822680;39824640;;Ativa;BRASILANDIA;11;1104;35463553;35463553;;;16/11/2011;2011.0.251.846.4;16/11/2011;40863;12/08/2014;;2 A 3A;IRMA TERESA DANTAS;-23452068;-46691060;25/12/2023
PE;307690;CR.P.CONV;PRIMEIROS PASSOS;PRIMEIROS PASSOS;;PENHA;PENHA;RUA DOUTOR JOSÉ DA CRUZ CARQUEIJO;60;CANGAÍBA;3712020;20820828;;;Ativa;CANGAIBA;18;1801;35463565;35463565;;;24/11/2011;2011.0.119.266.2;24/11/2011;40871;;;1 A 3 ANOS;;-23508028;-46531073;25/12/2023
