DRE;CODESC;TIPOESC;NOMES;NOMESCOFI;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
PE;305999;ESC.PART.;BRINCANDO E APRENDENDO NUCL RECREATIVO;BRINCANDO E APRENDENDO NUCL RECREATIVO;;PENHA;MOOCA;RUA DOM  JOAQUIM DE MELO;314;PARQUE DA MOOCA;3122050;26045661;;;Ativa;53;MOOCA;;35163636;163636;;ZERO A 5 A;;;;;15/11/2000;;BRINCANDO E APRENDENDO NUCL. RECR.;PAR;0;0;31/12/2010
PE;301931;ESC.PART.;BRINCAR DE AMARELINHA E.E.I.;BRINCAR DE AMARELINHA E.E.I.;;PENHA;MOOCA;RUA DOM  ANDRES LAMAS;244;TATUAPE;3084020;35787633;;;Ativa;80;TATUAPE;;35156991;156991;;CRIANCAS DE 4 MESES A 6 ANOS;;;;;25/09/1996;;;PAR;-23533376;-46572614;31/12/2010
PE;307118;ESC.PART.;C.R.SANTO ESTEVAO - ESCOLA INFANTIL DUMBINHO;C.R.SANTO ESTEVAO - ESCOLA INFANTIL DUMBINHO;;PENHA;MOOCA;PADRE ESTEVÃO PERNET;292;VILA GOMES CARDIM;3315000;;;;Ativa;80;TATUAPE;8002;35255683;255683;;4 M A 5 A;15/07/2009;46;15/07/2009;;15/07/2009;;;PAR;-23542878;-46571853;31/12/2010
PE;307286;ESC.PART.;CACA TALENTOS;CACA TALENTOS;;PENHA;PENHA;ITINGUÇU;2233;VILA RÉ;3658011;;;;Ativa;59;PENHA;5903;35199761;199761;;4M A 5A;19/06/2010;100;16/06/2010;;;;;PAR;-26531081;-46495192;31/12/2010
PE;94021;EMEF;CAIRU, VISC. DE;CAIRU, VISC. DE;;PENHA;PENHA;PRACA ARARUVA;199;CIDADE PATRIARCA;3552010;26852358;;26852312;Ativa;91;VILA MATILDE;9104;35054800;54800;161074145000000;;16/11/1956;3.341;16/11/1956;;10/04/1981;;1 E 2 ESCOLA MISTA DA CIDADE PATRIARCA;DIR;-23535200;-46500764;31/12/2010
PE;307251;CR.P.CONV;CAMINHANDO PARA O FUTURO;CAMINHANDO PARA O FUTURO;;PENHA;PENHA;TOBIARAS;46;VILA ESPERANÇA;3649030;99968627;;;Ativa;59;PENHA;5902;35442173;442173;;ZERO A 2 A;22/04/2010;2009.0.204;22/04/2010;22/04/2010;;;;CON;-23313015;-46313069;31/12/2010
PE;306485;ESC.PART.;CAMINHO DO SABER, E.E.I.;CAMINHO DO SABER, E.E.I.;;PENHA;MOOCA;RUA   BERNARDO MAGALHAES;225;TATUAPE;3067060;20928191;;;Ativa;80;TATUAPE;8001;35813680;813680;;2A A 6A;;;;;12/04/2003;;;PAR;-23537611;-46570296;31/12/2010
PE;303534;ESC.PART.;CANTINHO DA FANTASIA CENTRO DE REC.INF.;CANTINHO DA FANTASIA CENTRO DE REC.INF.;;PENHA;ERMELINO MATARAZZO;RUA   BARTOLOMEU SOARES;96;JARDIM PONTE RASA;3894000;20413291;;;Ativa;28;ERMELINO MATARAZZO;2803;35157120;157120;;;;;;;19/10/1996;;;PAR;-23515972;-46482840;31/12/2010
PE;305964;ESC.PART.;CANTINHO DO SOL CENTRO DE EDUC.INF.;CANTINHO DO SOL CENTRO DE EDUC.INF.;;PENHA;PENHA;RUA   NHATUMANI;371;VILA RE;3663000;26843301;;;Ativa;59;PENHA;;35178123;178123;;18 M A 5 A;;;;;05/01/2000;;;PAR;0;0;31/12/2010
PE;303551;ESC.PART.;CANTINHO ENCANTADO E.E.I.;CANTINHO ENCANTADO E.E.I.;;PENHA;MOOCA;EUCLIDES PACHECO;152;VILA GOMES CARDIM;3321000;20980031;;;Ativa;80;TATUAPE;8002;35157387;157387;;2 A 6 ANOS;;;;;06/03/1997;;;PAR;-23549080;-46573150;31/12/2010
